,0,1,2,3,4,5,6,7,8,9,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Children,Other Comments,phase 3 genotypes,related genotypes,omni genotypes,affy_genotypes,Population Description,Continental,Sequence Data Available,Alignment Data Available,Variant Data Available
NA19649,-85.52831,120.27844,73.924194,-6.50596,6.9413395,29.333742,-61.33443,9.442275,24.799973,9.984915,m001,0,0,1,0,MXL,father,0,0,0,NA19650,0,1,0,1,1,Mexican Ancestry from Los Angeles USA,AMR,1.0,1.0,1.0
NA19651,-99.62497,73.45153,-38.757835,151.61618,-21.29208,-20.473772,32.294353,13.051123,3.693243,64.9935,m005,0,0,2,0,MXL,mother,0,0,0,NA19653,0,1,0,1,1,Mexican Ancestry from Los Angeles USA,AMR,1.0,1.0,1.0
NA19652,-76.01624,72.30656,32.452988,57.07587,5.10083,-29.685734,25.908958,-17.707067,27.203716,36.732143,m005,0,0,1,0,MXL,father,0,0,0,NA19653,0,1,0,1,1,Mexican Ancestry from Los Angeles USA,AMR,1.0,1.0,1.0
NA19700,157.75726,26.120611,27.98781,-16.560453,-31.518898,7.543562,36.499363,-122.26196,64.536194,21.365622,2367,0,0,1,0,ASW,father,0,0,0,NA19702,0,1,0,1,1,Americans of African Ancestry in SW USA,AFR,1.0,1.0,1.0
NA19701,223.20474,-29.264978,15.018044,11.74272,110.13301,-47.124077,-75.528305,-94.06861,-41.506382,139.02336,2367,0,0,2,0,ASW,mother,0,0,0,NA19702,0,1,0,1,1,Americans of African Ancestry in SW USA,AFR,1.0,1.0,1.0
NA19703,251.02464,-16.345911,-10.862287,7.909326,-238.55524,4.1023717,-134.52898,49.402184,-80.008545,27.178997,2368,0,0,1,0,ASW,father,0,0,0,NA19705,0,1,0,1,1,Americans of African Ancestry in SW USA,AFR,1.0,1.0,1.0
NA20502,-79.60865,127.63207,15.941003,-15.492316,24.588749,6.274863,-25.714401,10.453359,-1.4122831,-32.796234,NA20502,0,0,2,0,TSI,unrel,0,0,0,0,0,1,0,1,1,Toscani in Italia,EUR,1.0,1.0,1.0
NA20503,-64.75715,106.16402,2.135,-9.666189,-48.918762,-22.418451,46.6508,45.413464,13.124018,28.34262,NA20503,0,0,2,0,TSI,unrel,0,0,0,0,0,1,0,1,1,Toscani in Italia,EUR,1.0,1.0,1.0
NA20504,-82.436066,108.19227,86.247314,-62.880672,27.260012,-24.447472,7.28795,-14.04959,-18.234896,-7.9186697,NA20504,0,0,2,0,TSI,unrel,0,0,0,0,0,1,0,1,1,Toscani in Italia,EUR,1.0,1.0,1.0
NA20505,-71.1142,125.0003,35.399803,-2.1440976,1.2130702,5.8295226,-40.53264,-6.6821904,-11.599943,-10.9220295,NA20505,0,0,2,0,TSI,unrel,0,0,0,0,0,1,0,1,1,Toscani in Italia,EUR,1.0,1.0,1.0
NA20845,-82.632614,24.868097,-143.90273,6.8101764,11.407437,-16.959602,23.151068,-8.0748205,-1.4613969,-11.4754715,NA20845,0,0,1,0,GIH,unrel,0,0,0,0,0,1,0,1,1,"Gujarati Indian from Houston, Texas",SAS,1.0,1.0,1.0
NA20846,-83.30568,44.44146,-85.55723,-3.8608177,21.990305,11.925923,-0.81714755,1.0149868,-22.1677,-13.532815,NA20846,0,0,1,0,GIH,unrel,0,0,0,0,0,1,0,1,1,"Gujarati Indian from Houston, Texas",SAS,1.0,1.0,1.0
NA20847,-86.65434,34.142235,-104.14324,-51.575047,8.492846,-28.782743,-15.172232,-20.112886,10.076681,-16.270899,NA20847,0,0,2,0,GIH,unrel,0,0,0,0,0,1,0,1,1,"Gujarati Indian from Houston, Texas",SAS,1.0,1.0,1.0
NA20849,-69.129486,13.818551,-106.599686,-2.5738893,6.6766267,-19.460863,15.0639105,-33.38204,28.8422,-33.49311,NA20849,0,0,2,0,GIH,unrel,0,0,0,0,0,1,0,1,1,"Gujarati Indian from Houston, Texas",SAS,1.0,1.0,1.0
HG00638,-8.676319,43.093758,25.535553,158.28226,-23.81765,39.64457,-54.019764,13.110234,-47.640915,-14.692207,PR03,0,0,2,0,PUR,mother,0,0,0,HG00639,0,1,0,1,1,Puerto Ricans from Puerto Rico,AMR,1.0,1.0,1.0
